year,Zip,City,State,orders,revenue
2020,145024,Gurdaspur,Punjab,1,1400.0
2020,146001,Hoshiarpur,Punjab,17,28450.0
2020,146002,Amritsar,Punjab,1,1800.0
2020,146023,Hoshiarpur,Punjab,1,1800.0
2020,146102,Hoshiarpur,Punjab,1,1200.0
2020,146103,Hoshiarpur,Punjab,3,4200.0
2020,146104,Hoshiarpur,Punjab,1,1200.0
2020,146105,Hoshiarpur,Punjab,1,1400.0
2020,146113,Hoshiarpur,Punjab,2,3190.0
2020,147001,Patiala,Punjab,31,47390.0
2020,147002,Patiala,Punjab,6,8190.0
2020,147102,Patiala,Punjab,1,1400.0
2020,147105,Patiala,Punjab,3,4000.0
2020,147201,Patiala,Punjab,2,3200.0
2020,147301,Fatehgarh Sahib,Punjab,6,8600.0
2020,148001,Sangrur,Punjab,1,1200.0
2020,148021,Sangrur,Punjab,1,1800.0
2020,148023,Sangrur,Punjab,4,5700.0
2020,148024,Sangrur,Punjab,1,1200.0
2020,148025,Sangrur,Punjab,1,1200.0
2020,148034,Sangrur,Punjab,1,1600.0
2020,148035,Sangrur,Punjab,1,1900.0
2020,148101,Barnala,Punjab,6,8699.0
2020,148102,Sangrur,Punjab,1,1800.0
2020,148104,Barnala,Punjab,1,1800.0
2020,148108,Sangrur,Punjab,1,1800.0
2020,151001,Bathinda,Punjab,16,23202.0
2020,151004,Bathinda,Punjab,3,4250.0
2020,151102,Bathinda,Punjab,2,3600.0
2020,151103,Bathinda,Punjab,2,3200.0
2020,151104,Bathinda,Punjab,1,1900.0
2020,151111,Bathinda,Punjab,1,1200.0
2020,151203,Faridkot,Punjab,5,6800.0
2020,151204,Faridkot,Punjab,6,10100.0
2020,151212,Faridkot,Punjab,1,1800.0
2020,151301,Bathinda,Punjab,1,1200.0
2020,151505,Mansa,Punjab,5,7800.0
2020,151509,Bathinda,Punjab,1,1900.0
2020,152001,Firozpur,Punjab,9,13900.0
2020,152002,Firozpur,Punjab,1,1400.0
2020,152004,Firozpur,Punjab,1,1200.0
2020,152022,Firozpur,Punjab,1,1200.0
2020,152025,Muktsar,Punjab,1,1800.0
2020,152026,Muktsar,Punjab,7,9900.0
2020,152101,Muktsar,Punjab,1,1400.0
2020,152107,Muktsar,Punjab,6,8300.0
2020,152123,Firozpur,Punjab,4,5800.0
2020,160001,Chandigarh,Chandigarh,2,3000.0
2020,160002,Chandigarh,Chandigarh,3,4800.0
2020,160003,Chandigarh,Chandigarh,1,1200.0
2020,160008,Chandigarh,Chandigarh,1,1200.0
2020,160009,Chandigarh,Chandigarh,3,5500.0
2020,160012,Chandigarh,Chandigarh,2,2600.0
2020,160014,Chandigarh,Chandigarh,3,5400.0
2020,160015,Chandigarh,Chandigarh,5,9000.0
2020,160016,Chandigarh,Chandigarh,1,1200.0
2020,160017,Chandigarh,Chandigarh,3,5590.0
2020,160019,Chandigarh,Chandigarh,1,1200.0
2020,160020,Chandigarh,Chandigarh,2,3000.0
2020,160022,Chandigarh,Chandigarh,3,4300.0
2020,160023,Chandigarh,Chandigarh,3,5500.0
2020,160025,Chandigarh,Chandigarh,2,3600.0
2020,160028,Chandigarh,Chandigarh,1,1800.0
2020,160030,Chandigarh,Chandigarh,6,9300.0
2020,160035,Chandigarh,Chandigarh,2,3200.0
2020,160036,Chandigarh,Chandigarh,15,22890.0
2020,160047,Chandigarh,Chandigarh,10,15200.0
2020,160053,Amritsar,Punjab,1,1800.0
2020,160055,Rupnagar,Punjab,13,22200.0
2020,160059,Mohali,Punjab,7,10400.0
2020,160061,Amritsar,Punjab,1,1800.0
2020,160062,Mohali,Punjab,13,21900.0
2020,160066,Amritsar,Punjab,1,1990.0
2020,160070,Amritsar,Punjab,2,3600.0
2020,160071,Mohali,Punjab,8,13580.0
2020,160072,Amritsar,Punjab,1,1200.0
2020,160101,Chandigarh,Chandigarh,5,7990.0
2020,160102,Chandigarh,Chandigarh,1,1800.0
2020,160103,Mohali,Punjab,5,7400.0
2020,160104,Mohali,Punjab,5,7300.0
2020,171001,Shimla,Himachal Pradesh,9,14400.0
