Clinic Loc,Zip,SubCity,City,State,qty,revenue
ABCPoint,781016,Gmc,Kamrup,Assam,222,115000.0
ABCPoint,781017,Jalukbari Lac,Kamrup,Assam,396,262000.0
ABCPoint,781018,Gmc,Kamrup,Assam,254,180500.0
ABCPoint,781019,Gmc,Kamrup,Assam,290,193100.0
ABCPoint,781020,Gmc,Kamrup,Assam,289,183000.0
ABCPoint,781021,Gmc,Kamrup,Assam,143,89000.0
ABCPoint,781022,Gmc,Kamrup,Assam,479,323000.0
ABCPoint,781023,Sonapur Block,Kamrup,Assam,199,128300.0
ABCPoint,781024,Gmc,Kamrup,Assam,114,58000.0
ABCPoint,781025,Gmc,Kamrup,Assam,205,151500.0
ABCPoint,781026,Gmc,Kamrup,Assam,433,284000.0
ABCPoint,781027,-,-,-,46,30000.0
ABCPoint,781028,Gmc,Kamrup,Assam,768,507500.0
ABCPoint,781029,Gmc,Kamrup,Assam,313,221000.0
ABCPoint,781030,Bezera Block,Kamrup,Assam,64,38000.0
ABCPoint,781031,Gmc ( North Gh Circle ),Kamrup,Assam,60,56500.0
ABCPoint,781032,Gmc,Kamrup,Assam,90,70500.0
ABCPoint,781034,Gmc,Kamrup,Assam,373,241500.0
ABCPoint,781035,Gmc,Kamrup,Assam,123,80500.0
ABCPoint,781036,Gmc,Kamrup,Assam,386,245000.0
ABCPoint,781037,Gmc,Kamrup,Assam,229,161000.0
ABCPoint,781038,Gmc,Kamrup,Assam,304,176000.0
ABCPoint,781039,Gmc,Kamrup,Assam,48,20000.0
ABCPoint,781040,Kamrup,Kamrup,Assam,189,157500.0
ABCPoint,781088,-,-,-,50,30000.0
ABCPoint,781101,Bezera Block,Kamrup,Assam,224,151000.0
ABCPoint,781102,Hajo Block,Kamrup,Assam,333,220000.0
ABCPoint,781103,Soalkuchi Block,Kamrup,Assam,127,91500.0
ABCPoint,781104,Hajo Block,Kamrup,Assam,109,70000.0
ABCPoint,781121,Bezera Block,Kamrup,Assam,49,30000.0
