area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Dharam,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782608695652175,8.227813333333334,3.245901639344262,2.4659685863874348,3.3380281690140845,3.1164383561643834,5.254237288135593,6.72,5.128205128205128,4.223300970873786,4.29951690821256,4.793478260869565,5.754389534883721,8.102499216,7.991617647058823,7.537933884297521,8.961078431372549,5.502105263157896
Canada,1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,6.2,7.222222222222222,7.943820224719101,12.625434782608698,15.375822746478875,13.97169014084507,13.562666666666669,17.5416,10.603333333333333
Kailash Ng,1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.777777777777778,6.166666666666668,6.838356435643565,9.110720069014086,12.153725490196079,15.01608695652174,11.091803278688525,4.942307692307692
Margao,1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580645161290323,8.28282828282828,8.015267175572518,12.12820512820513,11.028287671232874,8.560614111,9.80021978021978,18.50526315789474,26.396,17.497142857142858
Badakdev,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0754716981132075,3.957264957264957,4.25,5.363128491620112,5.246636771300448,5.034965034965035,5.322580645161291,5.440944881889764,7.297551724137931,11.663480570247934,6.105117647058823,7.074214285714286,10.225217391304348,6.96475
Alkapuri,1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.272727272727273,4.183673469387754,5.233644859813084,6.228070175438597,6.0344827586206895,5.0,7.8099173553719,6.501356060606061,16.989890616161617,11.799509803921568,10.931515151515152,13.016301369863013,9.887619047619047
Vesu,1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.777777777777778,3.870967741935484,4.748201438848921,5.0,4.726368159203981,4.61139896373057,5.0,6.88688,9.963649363636362,6.709761904761905,7.778,11.445625,6.138095238095238
Ring Rd,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636367,5.978260869565217,5.772357723577236,4.5555555555555545,5.178571428571428,6.748705479452053,9.380281386516854,5.210212765957447,4.915967741935484,8.24675,5.902857142857143
Adajan,1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605306641666667,7.4281999999999995,8.683472222222223,12.66566037735849,6.473448275862069
Nikol,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733454545454545,8.523548387096774,11.878518518518518,8.626666666666667
LalKothi,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.250000000000002,8.536585365853657,7.656250000000001,6.796116504854369,7.433628318584071,7.931034482758619,10.315217391304348,7.924877049180328,13.881156546666666,12.806162790697673,16.94780487804878,15.540941176470588,11.555217391304348
Shankar Ng,1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.758620689655173,9.43661971830986,11.014492753623188,8.738738738738737,5.1118421052631575,5.140449438202247,7.6827977196969695,7.449323308270676,9.159230769230769,9.783398058252427,8.2725
AB Rd,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.576271186440678,7.014925373134329,4.1492537313432845,5.4879219858156025,10.515970072916668,8.557073170731709,10.13679104477612,9.348130081300813,6.6255555555555565
Arera Cly,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.777777777777775,13.174603174603178,7.754545454545453,6.96331654676259,14.584375945945943,15.759868421052632,15.533061224489797,16.367323943661972,10.682173913043478
Lajpat,1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0180180180180183,4.06113537117904,4.205128205128204,3.592233009708738,4.893050847457627,4.629139072847682,4.947674418604651,7.482352941176471,7.099099099099099,6.423841059602648,5.15625,3.5023041474654377,5.686274509803921,6.7894736842105265,4.400921658986175,5.9349533333333335,8.02524946632653,8.648518518518518,9.811684210526314,10.920537634408602,8.259375
Rajouri,1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,4.0,6.338528571428571,4.8559322033898304,4.574193548387097,6.8347107438016526,7.592,6.057142857142857,5.168539325842696,3.131313131313131,5.631578947368421,6.033519553072626,4.666666666666667,5.40425352112676,7.703729006034483,7.904608695652173,9.304108527131783,9.863478260869567,7.230769230769231
Sec-51,1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.120641791044775,5.172413793103448,4.453900709219858,6.459183673469388,7.000000000000001,6.129032258064516,4.782608695652174,7.647058823529412,5.6923076923076925,6.0606060606060606,4.4941860465116275,6.165612403100774,12.271679834615385,12.998026315789476,13.381666666666666,13.210545454545453,9.209714285714286
Raj Ng,1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.765625,7.081081081081081,7.371794871794872,6.203703703703703,5.384615384615385,5.916666666666667,5.945945945945946,7.653061224489796,4.822580645161291,7.302359550561798,5.844185552542373,6.326031746031746,8.034255319148937,8.71377358490566,7.013750000000001
Sec-46,1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3888888888888875,5.08256880733945,6.4735445544554455,8.807768464788733,8.557564102564104,10.97219512195122,12.40375,10.23423076923077
Begambagh,1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.315789473684211,6.101449275362319,8.632566037735849,11.86306222777778,10.722972972972974,13.801666666666668,15.963,11.741111111111111
Faridabad,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92866666666667,9.684849774193548,8.38186046511628,12.344516129032257,14.882727272727273,9.434285714285714
Gurudev Ng,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.047619047619046,13.069767441860465,7.403225806451613,12.615384615384613,11.68421052631579,9.595959595959595,7.3,8.017241379310345,6.27433628318584,7.7551125,14.219233405555556,14.749019607843138,16.148771929824562,15.860357142857143,8.624736842105264
Sec-35,1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.636363636363637,9.74418604651163,7.56923076923077,6.96078431372549,5.892857142857143,6.697247706422019,5.771812080536913,7.703703703703703,7.376000000000001,11.59710989010989,16.65190374,17.551296296296297,17.549850746268657,14.852409638554215,7.22735294117647
Jalandhar,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08695652173913,6.2439024390243905,7.894736842105264,9.818181818181818,7.5409836065573765,5.591397849462365,10.389610389610391,7.288288288288289,11.850586666666667,14.170047120689654,13.93159090909091,13.091785714285713,13.548181818181819,11.608
