area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Dharam,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.336369565217396,20.146386666666665,18.031639344262295,16.968376963350785,20.54619718309859,19.314554794520546,30.47543855932203,26.2464,26.282051282051277,20.388349514563107,21.73913043478261,25.06766304347826,21.569767441860467,22.799999999999997,28.75,30.26446280991736,33.392578431372556,31.481763157894736
Canada,1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181818181818,22.0,18.055555555555554,22.969101123595504,24.637681159420293,22.535211267605636,26.338028169014084,31.293333333333333,35.260000000000005,22.780555555555555
Kailash Ng,1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,18.307916666666667,17.425742574257427,21.267605633802816,35.68627450980392,29.15217391304348,24.295081967213115,30.819230769230774
Margao,1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.64516129032258,20.2020202020202,18.320610687022903,29.453846153846154,20.684931506849317,22.6,34.72527472527473,40.35087719298246,38.0675,35.46785714285714
Badakdev,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.888679245283017,13.242307692307692,20.268818875,23.46886592178771,21.076233183856502,17.832167832167833,26.612903225806452,30.207874015748033,34.97536945812808,34.79338842975206,33.11764705882352,32.75,39.36256521739131,45.191224999999996
Alkapuri,1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.958,15.479602040816326,19.909635514018692,21.929824561403507,23.27586206896552,27.92207792207792,28.349586776859507,31.43939393939394,31.11111111111111,30.098039215686278,30.674242424242426,36.44520547945205,61.35
Vesu,1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.435511111111111,14.187798387096775,23.789956834532376,19.642857142857142,18.407960199004975,23.83419689119171,23.75166666666667,24.866666666666667,28.545454545454543,32.738095238095234,31.45714285714286,36.909375,38.74547619047618
Ring Rd,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.471441558441558,16.304347826086957,17.88617886178862,22.22222222222222,20.96964285714286,25.82191780821918,27.078651685393258,29.04255319148936,26.153225806451612,33.079325,38.68123809523809
Adajan,1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.166666666666668,27.0,25.361111111111114,35.547169811320764,29.77241379310345
Nikol,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.909090909090907,27.838709677419356,32.74074074074075,41.0
LalKothi,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,25.62219512195122,29.1854390625,21.35922330097087,19.469026548672566,24.13793103448276,23.641847826086956,21.557377049180324,27.06666666666667,35.46511627906977,35.41463414634146,33.46670588235295,42.02217391304348
Shankar Ng,1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.95341379310345,26.760563380281692,26.086956521739133,20.72072072072072,22.22532894736842,25.0561797752809,28.71212121212121,30.0,29.46153846153846,34.89708737864078,30.35714285714286
