City,total_orders,total_revenue,unique_pincodes
Kheri,248,524196.19,24
Rayagada,247,466826.2,17
Dhule,245,482537.35,19
Kollam,243,388641.5,86
Hanumangarh,242,494996.85,16
Khammam,242,455037.15,41
Kalimpong,241,419797.1,5
Umaria,240,519833.4,8
Kalahandi,240,527874.05,23
Una,239,438810.55,27
Palakkad,239,360942.12,82
Wardha,238,423382.85,15
Adilabad,234,462141.5,34
Kottayam,234,377233.9,84
Nawanshahr,233,448085.8,21
Balaghat,233,483880.55,18
Sirmaur,232,439706.35,13
Nalanda,232,482107.95,27
Almora,232,473178.65,16
Jind,228,418150.29,11
Bhadrak,227,444158.7,30
Chamba,225,443093.85,20
Begusarai,224,466445.25,26
Katni,224,454982.1,16
Nalbari,223,443865.1,32
Narmada,223,446540.65,16
Jaunpur,222,407953.4,30
Banaskantha,221,419089.4,24
Seoni,219,491031.65,17
Buldhana,219,427366.6,25
Lower Subansiri,218,410523.7,1
Jhujhunu,218,423504.05,38
International,217,1022302.4,160
Jajapur,216,431702.5,36
Muktsar,215,380432.1,13
Ratlam,214,411966.45,12
Hardoi,214,446251.35,18
Purulia,211,409956.25,25
Nagaur,211,408175.5,35
Firozabad,211,409251.75,13
Gadchiroli,210,425936.05,14
Gondia,210,427024.74,11
Chikkamagaluru,209,353964.3,25
Katihar,208,414835.45,14
Pali,208,397259.9,37
Deoghar,208,413860.65,14
Fatehabad,207,361331.29,10
North Tripura,207,431600.8,17
Unnao,207,446899.5,14
Basti,206,443058.09,17
Samastipur,205,396629.95,28
Bhandara,205,439222.95,18
Deoria,205,417931.0,21
Erode,204,323967.0,53
Ri Bhoi,204,397040.4,6
Sonbhadra,203,414954.7,16
West Singhbhum,203,402480.85,17
Prakasam,203,361517.15,47
South Tripura,202,385982.2,13
Salem,202,318987.75,49
Faridkot,202,352547.15,6
Sitapur,201,399509.05,19
Seraikela-kharsawan,201,394522.25,10
East Champaran,200,424695.69,28
Sultanpur,200,385846.3,31
Jyotiba Phule Nagar,199,382372.35,11
Doda,199,392595.75,11
Dhar,197,413889.15,15
Etawah,196,410824.05,14
Bidar,194,361957.65,11
Kaithal,192,336176.88,11
Bahraich,190,413165.9,17
Bargarh,190,424464.0,22
Bankura,189,394904.95,31
Pathanamthitta,186,283925.3,70
Hoshangabad,185,351449.03,14
West Kameng,183,360699.2,6
Rajsamand,183,370187.65,21
Budaun,182,364364.95,16
Dhenkanal,181,342902.15,22
Bilaspur (HP),179,320499.35,22
Senapati,178,343884.9,9
Rajauri,177,328574.8,11
Sidhi,177,364435.65,14
Marigaon,177,331786.55,11
Gonda,175,356582.85,26
Mahendragarh,174,320707.48,11
Etah,174,312862.95,18
Mirzapur,173,350146.9,15
Beed,173,332648.25,21
Kodagu,172,301692.65,22
Kaushambi,171,349596.15,15
Ghazipur,168,320247.0,36
Chitradurga,168,330738.35,17
Janjgir-champa,167,388922.45,14
Pilibhit,166,306012.15,6
Nalgonda,165,317662.65,27
Ananthnag,164,303137.2,10
Ballia,164,333147.74,28
Farrukhabad,164,329579.95,14
Rohtas,162,360161.0,24
Palamau,162,327470.7,12
Guna,161,315968.9,14
Kushinagar,160,354907.35,18
Wokha,160,269586.18,1
Dewas,160,319963.05,10
Mandya,159,287539.7,32
Malappuram,158,244343.15,59
Munger,157,339430.9,5
Barnala,156,257089.15,6
Madhubani,156,352940.8,31
Kanker,155,343683.8,12
Dibang Valley,154,275051.0,1
Ramanagar,154,297154.6,10
Siwan,153,311398.0,26
East Nimar,153,302554.5,15
Churu,152,287555.9,21
Nandurbar,151,287666.6,12
Araria,151,274059.0,12
Barabanki,151,315901.2,23
East Garo Hills,150,247524.25,2
Saran,150,300649.85,29
Ramgarh,150,325113.7,20
Tirunelveli,149,254218.8,51
Jagatsinghapur,149,304349.75,25
Daman,149,273902.0,4
Hailakandi,145,279498.3,10
Banswara,145,283917.95,14
Narsinghpur,145,313484.2,11
Bhojpur,144,282756.25,25
Pithoragarh,144,307994.48,15
Jalna,142,271181.95,17
Kendrapara,140,283586.15,25
Sehore,140,291020.15,14
Vaishali,139,284253.7,18
Mandla,139,283966.13,12
Giridh,138,283766.3,15
Lohit,137,243895.2,3
Banda,137,275748.9,13
Sitamarhi,135,280140.95,20
Nilgiris,135,207065.6,22
Mandsaur,134,262652.5,15
Kishanganj,134,289808.65,7
Chandauli,134,238193.25,15
Dumka,134,276751.55,12
Parbhani,132,272441.87,11
Sirohi,132,237419.5,15
West Champaran,131,258171.5,18
Pratapgarh,131,270194.05,29
Koriya,131,278937.15,14
Surendra Nagar,131,272426.6,17
Kanyakumari,131,212444.05,38
Fatehpur,130,281533.05,15
Ambikapur,130,236109.3,6
Harda,130,270178.15,3
Dahod,130,255439.15,11
Jashpur,129,260334.8,12
Champawat,128,226456.7,5
Amruthahalli,127,217969.35,5
Bagpat,126,268601.55,13
Porbandar,124,251728.75,11
Mainpuri,122,241708.2,11
Haveri,122,225938.85,22
West Nimar,122,222781.7,11
Gopalganj,121,285329.55,18
Thanjavur,121,212865.4,30
Dungarpur,121,221818.6,22
Patan,120,229444.34,12
Poonch,120,258649.15,4
Noida,119,249642.35,2
Bharatpur,118,224494.7,21
Mansa,118,226529.55,8
Amreli,118,243198.45,22
Vizianagaram,117,203236.2,26
Dantewada,117,221640.4,8
Jhabua,116,229711.35,11
Osmanabad,115,216660.3,17
Tirap,115,233750.25,3
Chhatarpur,114,225045.6,16
Kasargod,114,178678.94,24
Vidisha,114,245606.75,7
Gadag,113,232815.3,16
Shivpuri,113,238960.1,14
Maharajganj,111,231352.2,16
Dhamtari,108,235371.3,5
Tehri Garhwal,108,238085.8,13
Barmer,108,215597.0,20
Srikakulam,107,159718.35,31
West Khasi Hills,106,217519.0,6
Aurangabad(BH),105,231406.5,19
Shahdol,104,230697.9,15
Kupwara,102,200968.0,7
Jhalawar,102,211438.55,14
Tuticorin,102,171465.55,28
Neemuch,102,220686.5,12
Auraiya,100,203685.05,12
Morena,100,179917.8,9
Madhepura,100,189783.2,13
Cuddalore,99,173105.59,32
Tonk,99,200628.15,9
Tuensang,99,178160.0,3
Ambedkar Nagar,98,205590.15,16
Tarn Taran,98,174481.3,3
Damoh,97,187542.3,11
Nayagarh,97,189739.45,17
Hamirpur,94,190260.75,14
Mahasamund,94,202693.55,5
Siddharthnagar,94,205387.15,18
Jalor,93,154209.3,16
Hingoli,93,197784.2,9
West Siang,91,194938.0,3
Godda,91,158146.1,8
Chamoli,90,192352.15,18
Khagaria,89,185371.1,13
Dindigul,89,147270.1,26
Kandhamal,88,172408.1,14
Nabarangapur,88,190502.3,11
Namakkal,88,124816.9,24
Nawada,87,170494.4,13
Koppal,86,169193.3,15
Saharsa,85,173561.98,10
Yadgir,85,162972.6,13
Shajapur,84,152845.35,13
Amgaon,82,179536.2,26
Villupuram,82,155041.95,26
Dhalai,81,167571.5,10
Barwani,81,175735.0,8
Datia,80,155253.2,7
Gumla,80,167918.45,12
Idukki,78,141256.1,35
Lalitpur,77,153594.4,5
North Sikkim,76,131094.0,2
Shrawasti,75,154327.4,6
Virudhunagar,75,135930.3,13
Malkangiri,75,151404.1,5
Mon,74,123090.2,4
Bhind,74,150036.1,12
Nuapada,74,159967.1,7
Buxar,74,155373.55,18
Kaimur (Bhabua),73,154186.3,9
Supaul,72,139456.5,17
Koderma,72,160946.0,9
East Kameng,72,154499.0,2
Bundi,72,158705.35,14
Kannauj,70,147791.15,9
Kawardha,69,140565.35,3
Rajgarh,69,137135.15,13
Uttarkashi,69,158765.2,7
Theni,68,124130.05,13
Tiruvannamalai,67,111316.3,20
Mau,67,134781.05,7
Panna,67,124144.05,7
Banka,66,134843.15,10
Kinnaur,66,136347.0,9
Tawang,65,140340.15,3
Tikamgarh,65,132039.6,9
Garhwa,64,129622.15,9
Washim,63,117077.45,6
Dindori,63,119423.0,8
Sonapur,63,120212.04,4
South Dinajpur,63,116796.55,9
Raichur,62,137127.3,3
Raisen,62,133399.2,14
Lunglei,61,117809.3,4
Baran,61,126874.55,11
Anuppur,61,135286.4,8
Sivaganga,61,93757.0,16
Chamrajnagar,59,113609.1,9
Jamtara,58,100177.05,3
Karur,57,91945.65,11
Ropar,57,122599.0,4
Bishnupur,56,89139.1,3
Simdega,56,125987.25,4
Gajapati,55,110048.75,12
Sahibganj,55,106020.15,6
Zunhebotto,53,106977.8,4
Dausa,53,94248.65,16
Alwarpet,51,86601.1,3
Sant Ravidas Nagar,50,99322.2,8
Sawai Madhopur,50,86983.1,11
Nagapattinam,50,82796.64,24
Jamui,49,97268.35,7
Wayanad,48,74580.3,15
Dholpur,48,85756.2,8
Latehar,48,130925.0,6
Balrampur,47,104881.1,10
Bageshwar,46,94404.3,6
Kolasib,46,74428.0,4
Chatra,45,97013.1,6
-,45,107222.0,40
Ramanathapuram,43,85333.25,16
Peren,43,95753.0,1
Ukhrul,41,89222.0,3
Rudraprayag,41,83299.2,8
Arera Colony,41,70143.3,1
Champhai,40,71656.2,3
Upper Subansiri,39,96556.0,1
Tiruvarur,39,49647.5,14
Pakur,39,80011.1,6
Debagarh,37,81176.45,5
Phek,35,68120.1,4
Jehanabad,35,70088.1,9
Bijapur(CGH),35,66685.0,3
Narayanpur,35,72337.0,1
Chitrakoot,34,53870.2,2
Tamenglong,34,70208.0,3
Karauli,33,60093.1,11
Pudukkottai,30,61655.0,17
The Dangs,30,68379.0,2
Amroha,29,72289.2,10
Lawngtlai,28,43503.0,2
Singrauli,28,54148.1,2
Diu,27,56377.15,3
Dharmapuri,27,53802.0,12
Alambagh,26,41917.0,1
Karaikal,26,26829.15,7
Boudh,24,43541.8,5
Chandel,24,42069.2,2
Perambalur,24,44830.0,7
Leh,23,41243.0,3
Upper Siang,23,39845.0,2
Panaji,22,38831.2,11
Sheikhpura,21,36318.15,2
Sheopur,18,28463.1,4
North And Middle Andaman,18,45352.0,4
Jaisalmer,17,33053.0,3
Sheohar,16,26699.05,4
Not Found,16,61423.2,1
Longleng,15,25259.0,1
Lakhisarai,15,37378.0,4
Serchhip,13,20357.2,2
Amingad,13,19407.0,1
Lahul & Spiti,13,23310.0,3
Sant Kabir Nagar,13,30356.25,5
South Garo Hills,13,24575.0,1
Alandur,11,19903.0,2
Mammit,10,15901.1,3
Mahoba,9,17911.0,3
Amraigaon,9,22434.0,3
Ashok Nagar,9,18666.5,3
Ariyalur,9,18463.0,7
Amona,8,7934.0,1
Burhanpur,8,10845.0,3
Anandnagar,8,17444.0,2
Kalyan,8,11910.0,1
Khamgaon,7,11000.0,5
Alwal,7,13525.0,1
Khargone,5,6470.0,3
Nicobar,5,9460.0,2
Alirajpur,4,7818.0,2
Khunti,4,9050.0,1
Khamtarai,4,3563.0,1
Amraoti,4,11540.0,3
Amba,4,8106.7,2
Shopian,4,3074.0,1
Ambajogai,3,6695.0,2
Peddapalli,3,5488.0,1
Port Blair,3,6125.0,3
Kharik,3,5000.0,1
Khamano,3,4800.0,2
