pin_int,unique_clinic_patients,clinic_orders,clinic_revenue,clinics_visited
143604,3,109,61600.0,1
143605,2,42,31200.0,1
143816,2,43,40000.0,1
144001,118,2221,1403803.0,6
144002,20,611,393700.0,4
144003,175,4276,2679400.0,6
144004,245,6941,3934344.0,3
144005,33,755,486900.0,2
144006,4,111,76300.0,1
144007,1,1,0.0,1
144008,23,552,351335.0,3
144009,5,31,22200.0,1
144010,1,45,30000.0,1
144011,2,53,42100.0,1
144012,3,7,5800.0,2
144021,11,348,224998.0,3
144022,9,248,165000.0,2
144025,1,38,34400.0,1
144026,1,42,33000.0,1
144027,1,1,1000.0,1
144031,1,1,0.0,1
144039,2,20,17700.0,2
144040,15,521,341201.0,1
144041,2,18,11000.0,2
144042,1,7,5000.0,1
144044,3,78,52000.0,1
144101,2,104,63000.0,1
144102,8,186,113500.0,1
144103,1,22,21000.0,1
144105,2,56,34400.0,1
144201,2,68,39000.0,1
144203,1,1,0.0,1
144204,2,72,46200.0,1
144205,6,116,87500.0,1
144208,7,302,157000.0,2
144211,6,217,119900.0,2
144216,1,57,33000.0,1
144221,8,227,134700.0,3
144222,2,51,35000.0,1
144301,1,1,0.0,1
144309,1,15,10000.0,1
144401,16,528,324700.0,2
144403,2,43,27700.0,2
144404,1,13,10000.0,1
144409,2,46,33000.0,2
144410,12,373,228800.0,2
144411,4,8,9600.0,2
144416,1,1,1000.0,1
144418,1,46,30000.0,1
144505,3,65,40000.0,2
144513,4,119,78000.0,2
144514,11,325,245600.0,3
144518,1,3,3800.0,1
144521,2,74,48000.0,2
144523,1,5,0.0,1
144527,6,283,193600.0,2
144529,2,28,10500.0,2
144601,24,515,360401.0,3
144603,1,18,11000.0,1
144623,2,89,53000.0,1
144624,1,1,2500.0,1
144626,2,17,21000.0,1
144628,1,3,3500.0,1
144629,1,4,0.0,1
144632,3,48,35900.0,2
144702,3,105,67000.0,1
144801,4,105,65500.0,1
144804,1,41,15000.0,1
145001,12,377,235100.0,4
145023,2,8,6000.0,1
145025,2,36,18000.0,1
145029,1,15,11000.0,1
146001,29,1034,671879.1,4
146002,1,20,10000.0,1
146003,1,13,10000.0,1
146105,1,3,3600.0,1
147001,41,1305,819101.0,6
147002,3,34,23200.0,2
147021,1,10,7300.0,1
147101,2,42,26000.0,1
147105,3,142,83000.0,1
147111,1,29,18700.0,1
147201,9,259,153000.0,2
147203,1,1,0.0,1
147301,11,239,149500.0,3
148001,10,390,249900.0,2
148021,1,68,38000.0,1
148023,23,620,402500.0,6
148024,7,415,263000.0,1
148025,1,8,8500.0,1
148026,2,77,50501.0,2
148028,1,14,10000.0,1
148034,1,18,23700.0,1
148101,12,548,295500.0,1
148106,1,6,5000.0,1
148107,2,50,34000.0,2
150002,1,71,38000.0,1
151001,25,967,547700.0,5
151003,1,59,38000.0,1
151004,1,7,5000.0,1
151005,2,73,47000.0,2
151101,1,19,10500.0,1
151202,2,17,12900.0,1
151203,9,247,131001.0,3
151204,2,26,17500.0,1
151211,1,20,15000.0,1
151212,1,6,5000.0,1
151301,1,30,21000.0,1
151302,2,25,16000.0,1
151401,1,1,2000.0,1
151503,1,15,11000.0,1
151505,13,395,205400.0,3
151507,2,94,46000.0,2
151509,2,150,78000.0,2
152001,18,691,392900.0,3
152002,7,190,148001.0,4
152004,2,58,31000.0,2
152021,1,45,30000.0,1
152022,2,12,9700.0,2
152023,1,24,21000.0,1
152024,4,136,84000.0,2
152026,12,356,194800.0,4
152072,1,38,22500.0,1
152107,4,152,74500.0,2
152116,5,283,177469.0,1
152117,1,36,20000.0,1
152123,9,296,201800.0,3
157388,1,24,16910.0,1
160001,10,88,75900.0,2
160002,53,975,627300.0,1
160003,7,74,57000.0,2
160004,1,34,21500.0,1
160008,1,10,7000.0,1
160009,3,66,35000.0,3
160011,4,47,36750.0,3
160012,4,40,29500.0,1
160014,15,320,203600.0,2
160015,3,64,38400.0,2
160017,9,282,190900.0,3
160018,2,69,39500.0,1
160019,12,374,236300.0,2
160020,7,218,143400.0,1
160021,1,21,19800.0,1
160022,152,3240,1935800.0,2
160023,4,198,108000.0,1
160025,13,444,245500.0,1
160028,1,1,1000.0,1
160029,4,21,19400.0,1
160030,10,170,113200.0,1
160031,2,20,14700.0,1
160032,1,21,18000.0,1
160033,2,46,34000.0,1
160035,1,1,1000.0,1
160036,41,910,585399.0,4
160037,1,1,1000.0,1
160038,4,51,31700.0,1
160039,1,66,33000.0,1
160041,1,4,0.0,1
160042,1,22,15400.0,1
160043,1,26,20000.0,1
160045,3,28,23000.0,1
160046,1,10,8500.0,1
160047,28,886,551800.0,2
160048,1,24,15000.0,1
160052,4,139,76500.0,1
160055,50,1191,785198.0,1
160056,8,331,180500.0,1
160057,1,45,33000.0,1
160059,12,372,229580.0,3
160061,1,41,30000.0,1
160062,15,191,141200.0,1
160064,1,51,33000.0,1
160065,4,87,76400.0,1
160068,2,70,53000.0,1
160071,22,530,336000.0,2
160072,1,50,30000.0,1
160076,1,8,8500.0,1
160078,2,100,43000.0,1
160081,1,56,33000.0,1
160082,1,6,4000.0,1
160085,1,3,2100.0,1
160101,20,498,300000.0,2
160102,6,253,154900.0,1
160103,12,258,168800.0,3
160104,6,102,71200.0,1
161010,1,48,19000.0,1
170061,1,1,0.0,1
170141,1,15,10000.0,1
171001,15,249,183600.0,2
171002,1,1,1000.0,1
171003,1,52,33000.0,1
171005,3,48,42200.0,2
171006,2,98,75900.0,1
171009,1,33,15000.0,1
171136,1,9,0.0,1
171201,1,1,1000.0,1
171205,1,1,0.0,1
171206,1,77,30000.0,1
171219,1,7,8500.0,1
171220,2,69,50000.0,1
171225,1,23,21000.0,1
171301,1,1,700.0,1
171401,1,61,39000.0,1
171840,1,50,30000.0,1
172001,5,86,40501.0,3
172026,1,27,17000.0,1
173001,5,205,122000.0,2
173025,9,240,152100.0,4
173026,1,67,38000.0,1
173030,1,19,13500.0,1
173101,1,46,30000.0,1
173104,1,3,4400.0,1
173205,8,189,118500.0,1
173211,1,3,0.0,1
173212,10,333,224075.0,2
173217,1,22,10000.0,1
173218,1,52,30000.0,1
173220,2,73,30000.0,1
173233,1,67,33000.0,1
173235,1,3,0.0,1
174001,2,65,38000.0,1
174014,2,87,48000.0,1
174027,4,161,111500.0,4
174029,2,54,38000.0,1
174101,16,533,310100.0,1
174103,1,80,33000.0,1
174303,8,307,173700.0,4
175001,2,23,10000.0,2
175006,1,16,16700.0,1
175032,1,34,15000.0,1
175101,3,141,93900.0,1
175103,1,52,30000.0,1
175123,1,17,11000.0,1
175125,1,22,15000.0,1
175126,1,49,30000.0,1
175131,3,36,24500.0,2
176001,2,57,31000.0,2
176052,2,44,21000.0,1
176057,3,34,23500.0,2
176061,3,169,90500.0,3
176095,1,32,20000.0,1
176110,1,22,13500.0,1
176201,1,1,1000.0,1
176202,1,71,30000.0,1
176215,1,42,27800.0,1
176308,1,1,1000.0,1
176310,2,72,60000.0,2
176402,1,54,33000.0,1
177001,4,53,41400.0,4
177005,3,40,32400.0,3
177006,1,5,3000.0,1
177029,1,58,33000.0,1
177201,1,1,1000.0,1
177213,1,1,1000.0,1
180001,11,253,179650.0,6
180002,2,71,60600.0,2
180010,2,90,53000.0,1
180012,1,29,21000.0,1
180013,1,32,21000.0,1
180015,1,86,38000.0,1
180020,2,57,39780.0,1
180044,1,27,18000.0,1
181121,1,51,33000.0,1
181133,1,5,4000.0,1
181152,1,60,33000.0,1
181201,1,28,20000.0,1
182101,3,31,28400.0,3
182121,2,8,5800.0,2
182141,1,54,38700.0,1
182204,1,43,33000.0,1
182205,1,38,20000.0,1
182315,1,11,11500.0,1
182320,1,1,0.0,1
184102,1,4,6000.0,1
184121,1,18,10500.0,1
185131,5,12,3040.0,2
185154,1,76,38000.0,1
185211,2,7,2100.0,1
185212,1,20,18000.0,1
190001,8,107,75000.0,5
190002,3,40,25900.0,1
190003,1,22,20300.0,1
190006,1,1,700.0,1
190010,1,1,1000.0,1
190018,1,61,38000.0,1
191111,1,80,38000.0,1
191112,1,6,0.0,1
192125,2,68,51000.0,2
192129,1,30,21000.0,1
192231,1,30,20000.0,1
192303,1,26,21000.0,1
193224,1,32,21000.0,1
193302,1,1,1000.0,1
193411,1,40,31500.0,1
194101,2,95,66000.0,1
200071,1,25,20000.0,1
200100,1,13,5000.0,1
200101,2,51,52090.0,1
200102,6,189,104300.0,2
200105,1,43,32690.0,1
200109,4,73,40690.0,2
200130,2,67,60800.0,2
200201,9,177,87600.0,4
200202,2,53,33000.0,2
200501,1,18,11200.0,1
201001,151,3397,2234210.0,14
201002,293,7105,4668960.0,9
201003,20,471,315440.0,3
201004,2,13,700.0,1
201005,53,1228,865610.0,9
201006,4,91,84540.0,4
201007,13,270,187540.0,3
201008,1,36,15000.0,1
201009,245,6370,4534499.0,12
201010,133,3424,2136466.0,14
201011,66,1570,1085556.0,5
201012,42,1187,861000.0,5
201013,10,222,169900.0,4
201014,69,1835,1289468.0,6
201015,77,1066,680000.0,3
201016,22,563,425900.0,5
201017,164,4720,2950563.0,5
201018,21,650,338000.0,1
201019,213,6827,3900344.0,4
201022,2,65,31000.0,1
201030,1,44,37600.0,1
201101,2,109,55000.0,1
201102,49,1225,909780.0,8
201109,3,48,35500.0,2
201201,1,37,38300.0,1
201204,9,235,141800.0,3
201206,22,442,324299.0,5
201208,1,54,33000.0,1
201212,1,53,33000.0,1
201213,1,12,7500.0,1
201214,1,10,9000.0,1
201220,1,16,0.0,1
201301,1070,28164,18032573.0,25
201302,18,581,366000.0,2
201303,39,953,613999.0,6
201304,125,2011,1370869.0,4
201305,57,1225,843850.0,7
201306,224,6672,4435922.0,13
201307,49,1246,972630.0,4
201308,27,598,411113.0,4
201309,37,754,507900.0,7
201310,140,2956,1997954.0,9
201311,8,224,169510.0,3
201312,1,23,23600.0,1
201313,2,46,34300.0,1
201316,1,22,17900.0,1
201318,17,661,421000.0,4
201320,1,35,15000.0,1
201321,1,70,38000.0,1
201801,2,25,20700.0,1
