area,city,state,clinic_code,new_clinic_code,opening_date,address,landmark,location
Jayalakshmipuram,Mysore,Karnataka ,KAMYS01,KAMYS01-JP,2025-06-28,"G11A Ground floor, 22/B, Gokulam Main Rd, inside BM Habitat Mall, behind BM Hospital, 3rd Block, Jayalakshmipuram, Mysuru, Karnataka 570012",BM Habitat Mall,
Kalasiguda,Secunderabad,Telangana,TLSCD01,TLSCD01-KS,2025-07-05,"Gr Flr, Swapnalok Complex, Shop No, 4 & 5, Sarojini Devi Rd, Kalasiguda, Secunderabad, Telangana 500003",Swapnalok Shopping Complex,
HUDA Market Sector-46,Gurgaon,Haryana,HRGRG01,HRGRG01-46,2025-07-09,"1st Floor, Plot No.131 , Above Apollo Pharmacy, HUDA Market Sector-46 Gurgaon 122003",HUDA Market,
Kailash Nagar,Aurangabad ,Maharashtra ,MHAUR01,MHAUR01-KN,2025-07-19,"1st Floor, Nisha Bafna Plaza, Shop No, B-301, Jalna Rd, opposite to Akashvani Kendra, Kailash Nagar, Chhatrapati Sambhajinagar, Maharashtra 431001",Nisha Bafna Plaza,
Khadakpada Circle,Kalyan,Maharashtra ,MHKAL01,MHKAL01-KC,2025-07-23,"Unit No. 101, First Floor, Imperial Business Hub, Khadakpada Cir, Beturkar Pada, Kalyan, Maharashtra 421301","Above starbucks, Khadakpada",
Begambagh,Meerut, Uttar Pradesh,UPMRT01,UPMRT01-BB,2025-07-26,"First Floor, Building No. 51, 2, College Road, opp. Kalyanji Heritage, Larakharava, Begambagh, Meerut, Uttar Pradesh 250001",Above Titan eyeplus ,
Kalyan Nagar,Bengaluru,Karnataka ,KABLR03,KABLR03-KM,2025-08-02,"2nd floor, Surya Arcade, 416, CMR Main Rd, HRBR Layout 2nd Block, Sena Vihar, Kammanahalli, Bengaluru, Karnataka 560043",Opp Style union ,
Civil Lines,Prayagraj ,Uttar Pradesh,UPPRY01,UPPRY01-CL,2025-08-09,"Second Floor, Bungalow Old 29, New 77 Mohalla Civil Lines, Elgin Road, Lal Bahadur Shastri Marg, Civil Lines, Prayagraj, Uttar Pradesh 211001","Opp Madan Women, Strachy Road",
Mira Bhayandar,Thane,Maharashtra ,MHTHN02,MHTHN02-MB,2025-08-16,"1st Floor, Urban Grandeur 6, 104, Mira Bhayander Link Rd, near Rbk School, Chandan Shanti, Mira Road East, Mira Bhayandar, Maharashtra 401107",Above Starbucks,
Basaveshwar Nagar,Bengaluru,Karnataka ,KABLR04,KABLR04-BN,2025-08-30,"1st floor,  SK Complex, Above Beaute & Nutrie, Siddhaiah Puranik Rd, near Priyadarshini Grand Hotel, 3rd Block, West of Chord Road 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079",Opp Priyadarshini Grand,
Pilkhana,Howrah,West Bengal,WBHWH01,WBHWH01-PK,2025-09-20,"Ward No.14, No.62/2, Police Station, 2nd Floor Unit No.328, Raghav Plaza, Municipal Premises, Rose Merry Ln, Golabari, Howrah, West Bengal 711101",Raghav Plaza,
Sector 17,Faridabad ,Haryana,HRFBD01,HRFBD01-17,2025-09-27,"First Floor, Plot No.134, above Clove Dental, Sector 17, Faridabad, Haryana 121002",Sector 17 Market,
E Sector,Itanagar ,Arunachal Pradesh,APITG01,APITG01-IN,2025-10-11,"12,13 and 14, BB Plaza, Shop No, D 11, E-Sector, opposite Sports Station, Itanagar, Arunachal Pradesh 791111",BB Plaza,
Adajan,Surat,Gujarat,GJSUR02,GJSUR02-AJ,2025-10-25,"1st Floor, unit no. 101 , EON Square, LP Savani Road, Subhash Chandra Bose Marg, Adajan, Surat, Gujarat 395009
",,
Nava Nikol,Ahmedabad,Gujarat,GJAHM02,GJAHM02-NN,2025-11-08,"First Floor Shop No.115 and 116, The Capital, Gangotri Circle, S.P. Ring Road, Nava Nikol, Ahmedabad Gujarat-382350
",,
Alambagh ,Lucknow,UP,UPLKO02,UPLKO02-AB,2025-11-29,"Second Floor, Yes Bank Building, A-116B,Sector-B, LDA Colony, Kanpur Road, Alambagh Lucknow UP-226012",,
Kondhwa,Pune,Maharashtra,MHPUN03,MHPUN03-KD,2025-12-13,"1st Floor, unit no. 112, 99 Avenue Complex, 11, near Manikchand Nagar, next to Atithi Hotel, Lullanagar, Kondhwa, Pune, Maharashtra 411040",,
New Town,Kolkata,West Bengal,WBKOL02,WBKOL02-NT,2026-01-10,"DLF Galleria, Unit No: DGK006, Ground Floor, Major Arterial Road, BG Block, Action Area 1B, New Town, Kolkata - 700163
","Opp. to IBIS Hotel,  BG Block, Rajarhat",
Ushagram,Asansol,West Bengal,WBASN01,WBASN01-UG,2026-01-24,"Regal Plaza, Ground Floor, Murgasol, GT Road, Opp. Bajaj Auto, Ushagram, Asansol, West Bengal - 713303
",Opp. to Bajaj Auto & Hotel Asansol International,
Danapur,Patna,Bihar,BRPAT02,BRPAT02-DP,2026-02-21,"2nd Floor Above Jai Alankar Jewellers ,S.R Complex ,Mauza - Jalalpur, Thana No-22 Survey Plot No- 02, Khata no- 25, Thana - Rupaspur, , Near RPS More, Bailey Road, Danapur, Bihar Pin- 801503
",,
,,,,-,,,,
,,,,-,,,,
